BME Probabilistic data
7    NOTE: The actual number of columns varies from line to line
s1
s2
code for the variable (equal to one)
Type of soft pdf (equal to 2, corresponding to linear)
number of limit values, nl
limits of intervals (nl values)
probability density (nl values)
              8               0   1  2    4   4.15203   4.39506   4.53585   5.41485           0 1.42489 1.42489 0 
              0               2   1  2    4   2.75219   2.80585   2.89394    3.4194           0 2.64799 2.64799 0 
              4               0   1  2    4   4.43772   4.53668   5.07442   5.46286           0 1.2797 1.2797 0 
              4               8   1  2    4   2.64699    2.6833   2.82908   4.89335           0 0.83607 0.83607 0 
              2               0   1  2    4   4.28137   4.41894   4.64777   5.54672           0 1.33853 1.33853 0 
              2              10   1  2    4   1.02996   1.21013   1.26213   3.76163           0 0.718475 0.718475 0 
              6               6   1  2    4   4.11554   4.17064   4.35869   7.22178           0 0.607111 0.607111 0 
              8               6   1  2    4   4.61534   4.81835   5.14097   7.54967           0 0.614071 0.614071 0 
              6               4   1  2    4   2.82215   2.83994   2.91147   4.34725           0 1.25263 1.25263 0 
              6              10   1  2    4  0.732825   0.96886   1.04998    3.9662           0 0.603411 0.603411 0 
              4               4   1  2    4   3.82764   4.02674   4.14835   4.52303           0 2.44794 2.44794 0 
