File with hard data
4
x
y
t
Variable 1
           8            4            1   3.69854307 
           0            8            1  2.601683941 
           4           10            1  4.247489171 
           8            8            1  2.366351131 
           2            2            1  3.223757176 
           0           10            1  3.719347716 
           6            2            1  4.023588802 
           4            2            1  3.179528315 
           2            6            1  4.028307207 
           0            4            1  3.412124471 
           8            4            2  3.557532686 
           0            8            2  3.629766167 
           4           10            2  3.262145188 
           8            8            2  3.183905546 
           2            2            2  4.250409333 
           0           10            2  4.345079689 
           6            2            2  3.497388882 
           4            2            2  3.507495059 
           2            6            2  4.308600609 
           0            4            2  2.833380092 
           8            4            3  4.534378508 
           0            8            3  3.027575691 
           4           10            3  3.119140821 
           8            8            3  3.438242137 
           2            2            3  3.351520649 
           0           10            3  4.169205527 
           6            2            3  4.520125595 
           4            2            3  3.495410173 
           2            6            3  3.588000426 
           0            4            3   1.96483992 
           8            4            4  3.980105847 
           0            8            4   2.50515264 
           4           10            4  4.045722292 
           8            8            4  3.552695074 
           2            2            4  3.456790753 
           0           10            4  2.690223498 
           6            2            4  2.923229657 
           4            2            4  3.680734844 
           2            6            4   3.88977838 
           0            4            4   2.69946518 
           8            4            5  4.859911908 
           0            8            5  2.196996233 
           4           10            5  4.921413781 
           8            8            5  4.184666062 
           2            2            5  3.656563312 
           0           10            5  3.010682476 
           6            2            5  2.406770695 
           4            2            5  3.779830082 
           2            6            5  2.746404707 
           0            4            5  2.158696119 
